feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,label
0.178364,0.322342,0.449037,0.515696,0.537956,0.692753,0.851823,0.893723,0.641217,0.495212,0.372173,0.641576,0.840487,0.793345,0.750915,0.442887,0.101073,0.534597,0.345207,0.256684,0.127356,0.458329,0.843491,0.157052,0.433636,0.241396,0.518848,0.795639,0.285857,0.570312,0.548977,0.733494,0.884315,0.193372,0.887019,0.79165,0.318867,0.435225,0.111811,0.73186,0.789251,0.399258,0.146931,0.542436,0.890929,0.840248,0.608454,0.583739,0.219814,0.619211,0.815031,0.17136,0.792965,0.363786,0.153247,0.241336,0.475602,0.58495,0.754571,0.813393,0.728278,0.10732,0.1467,0.178036,0.705108,0.716523,0.800951,0.764691,0.468366,0.704662,0.183484,0.424533,0.772973,0.234736,0.518273,0.810323,0.844683,0.892851,0.614918,0.643768,0.511285,0.874711,0.201974,0.737599,0.404067,0.679571,0.531661,0.320765,0.708917,0.87248,0.537752,0.490379,0.827417,0.192441,0.235574,0.798274,0.477816,0.581952,0.548563,0.257181,0.868763,0.506303,0.758579,0.706031,0.706738,0.131057,0.17008,0.72438,0.596399,0.194691,0.851628,0.238919,0.118485,0.257659,0.236796,0.269938,0.108946,0.303781,0.32797,0.884191,0.83637,0.448697,0.660496,0.364348,0.705325,0.288426,BOOK
0.0,0.0,0.0,-0.141342,-0.025406,-0.236022,-0.268802,-0.133591,-0.386875,-0.366716,-0.250435,-0.513356,-0.446749,-0.370008,-0.638938,-0.260285,-0.550518,-0.233862,-0.31834,-0.782375,-0.385918,-0.342592,-0.908094,-0.509172,-0.355767,-0.948761,-0.586012,-0.144122,-0.582271,-0.182929,-0.179874,-0.836802,-0.322043,-0.199515,-0.94435,-0.439267,-0.219676,-1.0,-0.518376,-0.025471,-0.584161,-0.158168,-0.05052,-0.816896,-0.273413,-0.074173,-0.941827,-0.371869,-0.099099,-0.994674,-0.435817,0.102011,-0.561471,-0.152637,0.077589,-0.751229,-0.236717,0.057024,-0.875356,-0.308228,0.033258,-0.957098,-0.363458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BOOK
0.86066,0.595468,0.207107,0.689895,0.331066,0.397037,0.839842,0.276767,0.681409,0.584943,0.225945,0.793431,0.604396,0.390377,0.786154,0.478367,0.777516,0.652069,0.537521,0.22138,0.716159,0.899319,0.417782,0.187135,0.368019,0.616675,0.729592,0.50533,0.651479,0.549135,0.421787,0.369965,0.65251,0.418471,0.71316,0.495862,0.186058,0.776679,0.396515,0.74446,0.596027,0.257191,0.897906,0.242558,0.422511,0.700673,0.411668,0.630272,0.364067,0.835999,0.750933,0.635624,0.774907,0.469608,0.649737,0.712888,0.14717,0.629353,0.418653,0.751263,0.143896,0.28565,0.561389,0.547157,0.623441,0.785248,0.825575,0.78924,0.279353,0.42313,0.76095,0.756746,0.366249,0.616311,0.398837,0.672993,0.825072,0.329662,0.137684,0.725088,0.442119,0.670382,0.892283,0.400431,0.33381,0.848123,0.394287,0.59449,0.535308,0.397561,0.85072,0.415464,0.197335,0.229472,0.740091,0.441202,0.762868,0.181626,0.752302,0.590631,0.898744,0.177821,0.515449,0.672297,0.531844,0.317314,0.820589,0.607612,0.332699,0.49667,0.572604,0.87158,0.176885,0.864032,0.634994,0.582553,0.765909,0.598175,0.126109,0.261573,0.147263,0.475996,0.388244,0.656989,0.746849,0.832735,BOOK
0.268008,0.281769,0.612108,0.706277,0.431326,0.326447,0.216642,0.519186,0.105821,0.820123,0.478859,0.652817,0.896274,0.756808,0.143289,0.205722,0.899726,0.813089,0.406743,0.509173,0.456512,0.67633,0.297944,0.406446,0.611079,0.768613,0.488673,0.3544,0.868173,0.857833,0.27731,0.136403,0.832008,0.129695,0.150159,0.480984,0.592394,0.535639,0.277362,0.168417,0.263907,0.467375,0.83954,0.507166,0.121781,0.377184,0.640689,0.71955,0.895144,0.241283,0.338708,0.533601,0.859469,0.458113,0.28537,0.605411,0.634598,0.447975,0.601599,0.842137,0.42768,0.223312,0.74315,0.196817,0.582278,0.318375,0.813304,0.758619,0.327534,0.504892,0.752511,0.663621,0.243928,0.314712,0.504469,0.546665,0.432362,0.286404,0.154844,0.736558,0.618022,0.474289,0.384769,0.602714,0.670875,0.362269,0.565191,0.210884,0.125043,0.657127,0.663154,0.571781,0.485123,0.633877,0.132902,0.755463,0.267179,0.236187,0.622945,0.551738,0.653011,0.896138,0.371786,0.812779,0.478073,0.611728,0.859816,0.26912,0.347669,0.769641,0.410351,0.281209,0.595494,0.442916,0.381043,0.1823,0.792086,0.782221,0.343011,0.164428,0.149715,0.780115,0.790955,0.649235,0.194599,0.703459,BOOK
0.669169,0.752056,0.855255,0.700198,0.795998,0.344157,0.500235,0.41836,0.543457,0.748605,0.509385,0.417265,0.338305,0.656267,0.700254,0.59475,0.733422,0.268902,0.152648,0.694105,0.819183,0.870146,0.357346,0.616334,0.799589,0.860218,0.626922,0.532282,0.323135,0.588665,0.294961,0.214736,0.285134,0.152176,0.703922,0.23838,0.838999,0.494407,0.791765,0.311927,0.770008,0.642321,0.470437,0.278024,0.390748,0.864503,0.860314,0.449766,0.224821,0.393071,0.510042,0.686024,0.777134,0.765657,0.408774,0.63688,0.321499,0.194184,0.254533,0.645229,0.242058,0.581292,0.560937,0.31517,0.67131,0.457404,0.118818,0.659347,0.510764,0.623909,0.872992,0.87404,0.301801,0.289821,0.310092,0.344372,0.329285,0.316891,0.185234,0.343639,0.789205,0.745359,0.439006,0.357297,0.607455,0.870048,0.870816,0.84798,0.69669,0.741874,0.242152,0.505021,0.600148,0.175812,0.333438,0.859356,0.361019,0.483362,0.41603,0.73118,0.480427,0.452467,0.480201,0.536351,0.797659,0.619341,0.246993,0.338795,0.53976,0.177435,0.325196,0.668283,0.755549,0.801969,0.777823,0.898088,0.609217,0.687832,0.476867,0.894485,0.677936,0.458024,0.170107,0.730058,0.56457,0.22412,DOCTOR
0.107382,0.804218,0.82869,0.566289,0.512841,0.150124,0.11529,0.46018,0.623169,0.163768,0.733831,0.861018,0.188175,0.219479,0.822284,0.215121,0.81277,0.361673,0.715613,0.505198,0.713941,0.45671,0.784267,0.683648,0.779953,0.26207,0.468516,0.150729,0.432558,0.805131,0.77093,0.112186,0.71437,0.15971,0.581754,0.191525,0.83774,0.272851,0.374955,0.599187,0.400654,0.785662,0.150089,0.473375,0.628071,0.636615,0.179324,0.725259,0.563279,0.134484,0.541474,0.214127,0.55127,0.780313,0.870178,0.455626,0.230051,0.853592,0.651735,0.490573,0.791565,0.231803,0.775122,0.56795,0.216883,0.861956,0.13464,0.43842,0.522457,0.839796,0.455193,0.883777,0.199268,0.217189,0.439104,0.720128,0.548362,0.793279,0.710481,0.203432,0.510899,0.435747,0.66334,0.421476,0.495985,0.424944,0.131641,0.107436,0.589055,0.3299,0.70745,0.574791,0.724216,0.352269,0.376523,0.274078,0.896786,0.490172,0.337881,0.5024,0.56676,0.522966,0.846832,0.478726,0.644298,0.114195,0.638909,0.381826,0.62161,0.443356,0.829512,0.550965,0.636557,0.445588,0.239598,0.578562,0.233874,0.550936,0.616882,0.838716,0.657199,0.438173,0.161762,0.197018,0.84708,0.415853,DOCTOR
0.0,0.0,0.0,0.119442,-0.190909,-0.033311,0.156118,-0.46654,-0.062233,0.204378,-0.654685,-0.097445,0.273566,-0.78681,-0.134518,0.007391,-0.643804,-0.086954,0.032595,-0.914283,-0.19463,0.13637,-0.981724,-0.268177,0.251061,-1.0,-0.314433,-0.055927,-0.607781,-0.128924,-0.029682,-0.903832,-0.244092,0.110536,-0.945129,-0.314143,0.241776,-0.941252,-0.355123,-0.127016,-0.525272,-0.178343,-0.108576,-0.79675,-0.289686,0.022837,-0.801454,-0.335197,0.145829,-0.773484,-0.354631,-0.203473,-0.410872,-0.230361,-0.261301,-0.595242,-0.320614,-0.231742,-0.728286,-0.367309,-0.182604,-0.840412,-0.397574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCTOR
0.240452,0.768343,0.55142,0.396055,0.686885,0.319229,0.289755,0.154955,0.71948,0.728066,0.133868,0.14863,0.345418,0.620331,0.747852,0.461181,0.122389,0.22027,0.32662,0.276367,0.316639,0.191913,0.426638,0.267392,0.711172,0.842438,0.357191,0.879821,0.224167,0.529341,0.347109,0.727572,0.104405,0.598476,0.661657,0.626535,0.332045,0.578077,0.384523,0.210135,0.362501,0.601198,0.398002,0.127755,0.101022,0.579508,0.853366,0.600997,0.818179,0.598759,0.742227,0.496603,0.730222,0.589302,0.308994,0.692352,0.242678,0.424901,0.737482,0.28614,0.777066,0.193436,0.439999,0.535401,0.8805,0.333732,0.830868,0.204779,0.18318,0.540364,0.527476,0.277507,0.752008,0.29624,0.890971,0.375279,0.846236,0.498008,0.678843,0.889869,0.380824,0.512432,0.490058,0.707381,0.771007,0.13204,0.776457,0.746013,0.415521,0.438124,0.483782,0.67948,0.170535,0.406928,0.18879,0.626941,0.832581,0.403376,0.430182,0.246672,0.205195,0.753474,0.419501,0.240777,0.412711,0.115506,0.135193,0.452371,0.778829,0.247324,0.191634,0.376834,0.11267,0.596903,0.32523,0.796484,0.18983,0.123413,0.478926,0.271175,0.127881,0.116953,0.712507,0.739023,0.825794,0.761018,DOCTOR
0.220231,0.886238,0.333267,0.702313,0.826551,0.344011,0.100262,0.10794,0.76026,0.75025,0.38379,0.231843,0.491507,0.887652,0.207635,0.868239,0.836277,0.49685,0.222269,0.582327,0.398366,0.648419,0.583488,0.372748,0.114175,0.573622,0.330396,0.160511,0.412908,0.176064,0.537737,0.488927,0.248375,0.399301,0.876014,0.338179,0.154446,0.14005,0.351645,0.634587,0.244571,0.291669,0.566261,0.136262,0.682814,0.184484,0.843128,0.512931,0.733908,0.24779,0.503049,0.348855,0.391228,0.354069,0.552101,0.734278,0.681246,0.868927,0.363382,0.484999,0.399341,0.523419,0.562043,0.492968,0.289445,0.849295,0.534045,0.646227,0.19713,0.515098,0.82471,0.736331,0.710761,0.575248,0.17776,0.832438,0.752521,0.284426,0.767875,0.702584,0.500827,0.613449,0.466931,0.6538,0.234057,0.447482,0.797393,0.432062,0.429278,0.165258,0.261379,0.116238,0.106452,0.226341,0.817422,0.657274,0.692192,0.703143,0.387696,0.79213,0.37495,0.44608,0.3235,0.26631,0.756736,0.327471,0.661894,0.789268,0.383158,0.277013,0.897066,0.579087,0.547452,0.886544,0.800987,0.40112,0.380215,0.492846,0.365134,0.411494,0.409632,0.569602,0.376678,0.338771,0.300334,0.477543,DOCTOR
0.0,0.0,0.0,-0.095535,-0.212293,-0.070953,-0.090979,-0.518533,-0.124815,-0.02699,-0.731174,-0.167673,0.033686,-0.873971,-0.206933,0.138856,-0.435247,-0.168198,0.330554,-0.722826,-0.22895,0.389122,-0.888845,-0.246302,0.422234,-1.0,-0.253355,0.237021,-0.316684,-0.166926,0.395936,-0.656289,-0.250577,0.333882,-0.717176,-0.260055,0.271266,-0.680384,-0.249716,0.301365,-0.23182,-0.164723,0.437662,-0.551494,-0.240758,0.364414,-0.59171,-0.223333,0.298742,-0.546029,-0.192759,0.344817,-0.184778,-0.163692,0.433733,-0.453747,-0.215081,0.379708,-0.495368,-0.19808,0.326456,-0.450775,-0.172884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCTOR
